x, y, z, red, green, blue, intensity
-1.81965, -0.0387917, -12.7389, 205, 205, 20, 1
-1.78007, -0.0337174, -12.7417, 205, 205, 20, 1
-1.74113, -0.0185263, -12.7381, 205, 205, 20, 1
-1.69992, -0.00658336, -12.7448, 205, 205, 20, 1
-1.678, -0.0105001, -12.7345, 205, 205, 20, 1
-1.9615, 0.03615, -12.743, 205, 205, 20, 1
-1.94103, 0.0140347, -12.7393, 205, 205, 20, 1
-1.907, 0.01025, -12.7327, 205, 205, 20, 1
-1.735, 0.0140999, -12.7337, 205, 205, 20, 1
-1.69165, 0.0222647, -12.7364, 205, 205, 20, 1
-1.67414, 0.0269286, -12.7414, 205, 205, 20, 1
-1.97159, 0.0561341, -12.7398, 205, 205, 20, 1
-1.931, 0.0465001, -12.7525, 205, 205, 20, 1
-1.681, 0.041, -12.7385, 205, 205, 20, 1
-1.668, 0.057375, -12.7524, 205, 205, 20, 1
-1.98168, 0.107436, -12.7386, 205, 205, 20, 1
-1.65958, 0.0895833, -12.7503, 205, 205, 20, 1
-1.97794, 0.142624, -12.7387, 205, 205, 20, 1
-1.96616, 0.171775, -12.7395, 205, 205, 20, 1
-1.95331, 0.191176, -12.7389, 205, 205, 20, 1
-1.93458, 0.214568, -12.7405, 205, 205, 20, 1
-1.9132, 0.232962, -12.7375, 205, 205, 20, 1
-1.68867, 0.234611, -12.7499, 205, 205, 20, 1
-1.67159, 0.212676, -12.7407, 205, 205, 20, 1
-1.89254, 0.249469, -12.74, 205, 205, 20, 1
-1.86042, 0.266906, -12.7395, 205, 205, 20, 1
-1.82044, 0.276738, -12.739, 205, 205, 20, 1
-1.78145, 0.277063, -12.7383, 205, 205, 20, 1
-1.73931, 0.269275, -12.7389, 205, 205, 20, 1
-1.70696, 0.253956, -12.7403, 205, 205, 20, 1
-1.889, 0.2835, -12.7215, 205, 205, 20, 1
-1.77029, 0.292441, -12.7449, 205, 205, 20, 1
-1.74118, 0.291227, -12.7454, 205, 205, 20, 1
-1.706, 0.29475, -12.7563, 205, 205, 20, 1
-1.889, -0.0445, -12.6982, 205, 205, 20, 1
-1.847, -0.05, -12.7012, 205, 205, 20, 1
-1.82347, -0.0481, -12.7065, 205, 205, 20, 1
-1.7811, -0.04905, -12.7005, 205, 205, 20, 1
-1.729, -0.0485, -12.6805, 205, 205, 20, 1
-1.9219, -0.00140004, -12.6986, 205, 205, 20, 1
-1.90454, -0.0132317, -12.6991, 205, 205, 20, 1
-1.85496, -0.0346333, -12.7069, 205, 205, 20, 1
-1.81582, -0.0382941, -12.712, 205, 205, 20, 1
-1.77065, -0.0321522, -12.7015, 205, 205, 20, 1
-1.73778, -0.0159138, -12.7047, 205, 205, 20, 1
-1.718, -0.00572734, -12.6985, 205, 205, 20, 1
-1.9625, 0.0384999, -12.7155, 205, 205, 20, 1
-1.94159, 0.0170505, -12.7004, 205, 205, 20, 1
-1.897, 0.013, -12.705, 205, 205, 20, 1
-1.7388, 0.0146999, -12.7061, 205, 205, 20, 1
-1.6909, 0.0317333, -12.6998, 205, 205, 20, 1
-1.67, 0.0384999, -12.7185, 205, 205, 20, 1
-1.96941, 0.0561981, -12.7004, 205, 205, 20, 1
-1.74, 0.0495001, -12.7085, 205, 205, 20, 1
-1.6922, 0.0488333, -12.7026, 205, 205, 20, 1
-1.67184, 0.0590789, -12.6979, 205, 205, 20, 1
-2.009, 0.1105, -12.7155, 205, 205, 20, 1
-1.9794, 0.10167, -12.6986, 205, 205, 20, 1
-1.692, 0.0965, -12.6855, 205, 205, 20, 1
-1.65691, 0.0953261, -12.6909, 205, 205, 20, 1
-2.01, 0.1345, -12.7085, 205, 205, 20, 1
-1.9764, 0.140783, -12.6993, 205, 205, 20, 1
-1.96508, 0.170289, -12.6988, 205, 205, 20, 1
-1.95253, 0.1895, -12.6984, 205, 205, 20, 1
-1.969, 0.223, -12.687, 205, 205, 20, 1
-1.93404, 0.213978, -12.699, 205, 205, 20, 1
-1.91198, 0.233254, -12.6992, 205, 205, 20, 1
-1.681, 0.2285, -12.7105, 205, 205, 20, 1
-1.677, 0.2215, -12.7148, 205, 205, 20, 1
-1.89317, 0.249041, -12.6995, 205, 205, 20, 1
-1.86093, 0.266027, -12.6989, 205, 205, 20, 1
-1.82066, 0.276609, -12.699, 205, 205, 20, 1
-1.78248, 0.277551, -12.6998, 205, 205, 20, 1
-1.75097, 0.272414, -12.7056, 205, 205, 20, 1
-1.69985, 0.25835, -12.7042, 205, 205, 20, 1
-1.8965, 0.286, -12.7095, 205, 205, 20, 1
-1.852, 0.2815, -12.6895, 205, 205, 20, 1
-1.803, 0.2925, -12.6865, 205, 205, 20, 1
-1.77748, 0.286929, -12.692, 205, 205, 20, 1
-1.74388, 0.288625, -12.7075, 205, 205, 20, 1
-1.71143, 0.296786, -12.7044, 205, 205, 20, 1
-1.93067, -0.0595, -12.6538, 205, 205, 20, 1
-1.894, -0.067, -12.6715, 205, 205, 20, 1
-1.86133, -0.0511666, -12.6535, 205, 205, 20, 1
-1.812, -0.0478637, -12.6601, 205, 205, 20, 1
-1.7854, -0.0478, -12.6661, 205, 205, 20, 1
-1.738, -0.0415, -12.6765, 205, 205, 20, 1
-1.92525, -0.00625, -12.6583, 205, 205, 20, 1
-1.90424, -0.0137157, -12.6676, 205, 205, 20, 1
-1.86445, -0.0326818, -12.648, 205, 205, 20, 1
-1.81608, -0.0372895, -12.6546, 205, 205, 20, 1
-1.77653, -0.0313642, -12.6562, 205, 205, 20, 1
-1.73399, -0.0134306, -12.6577, 205, 205, 20, 1
-1.71604, -0.0109167, -12.6612, 205, 205, 20, 1
-1.9615, 0.0269999, -12.6695, 205, 205, 20, 1
-1.94104, 0.0175213, -12.6617, 205, 205, 20, 1
-1.75225, 0.0125, -12.6453, 205, 205, 20, 1
-1.69065, 0.0346177, -12.6639, 205, 205, 20, 1
-1.9679, 0.05566, -12.6602, 205, 205, 20, 1
-1.959, 0.0411666, -12.6622, 205, 205, 20, 1
-1.693, 0.055, -12.6603, 205, 205, 20, 1
-1.67205, 0.0585312, -12.6593, 205, 205, 20, 1
-1.97763, 0.104237, -12.6587, 205, 205, 20, 1
-1.69, 0.1035, -12.651, 205, 205, 20, 1
-1.65707, 0.0975, -12.6605, 205, 205, 20, 1
-1.97438, 0.140902, -12.6598, 205, 205, 20, 1
-1.96406, 0.168881, -12.6594, 205, 205, 20, 1
-1.95173, 0.188479, -12.6585, 205, 205, 20, 1
-1.66117, 0.1905, -12.6507, 205, 205, 20, 1
-1.985, 0.2125, -12.6715, 205, 205, 20, 1
-1.93211, 0.214198, -12.6596, 205, 205, 20, 1
-1.91154, 0.232631, -12.6588, 205, 205, 20, 1
-1.68791, 0.23167, -12.6566, 205, 205, 20, 1
-1.67433, 0.214944, -12.6527, 205, 205, 20, 1
-1.89206, 0.24901, -12.6601, 205, 205, 20, 1
-1.86162, 0.265794, -12.659, 205, 205, 20, 1
-1.82147, 0.277181, -12.6585, 205, 205, 20, 1
-1.78092, 0.277968, -12.6577, 205, 205, 20, 1
-1.73623, 0.267705, -12.6531, 205, 205, 20, 1
-1.70604, 0.252378, -12.6569, 205, 205, 20, 1
